City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
4013679,Coahuayana Viejo,MX,18.7333,-103.6833,26.44,70,100,1.9
4500546,Atlantic City,US,39.3643,-74.4229,13.02,52,100,4.63
2724231,Avesta,SE,60.1455,16.1679,9.51,95,90,5.37
5909514,Brooks,CA,50.5834,-111.8851,8.91,63,100,1.98
2511440,San Bartolomé de Tirajana,ES,27.9248,-15.5733,16.29,82,20,2.57
3653609,Paján,EC,-1.5667,-80.4167,22.44,92,100,0.61
3430863,Mar del Plata,AR,-38.0023,-57.5575,12.18,77,0,4.92
3372964,Lagoa,PT,39.05,-27.9833,14.99,74,100,8.8
5767918,Pierre,US,44.3683,-100.351,18.51,48,0,2.68
1489853,Tazovsky,RU,67.4667,78.7,-5.93,89,100,2.9
5546220,Saint George,US,37.1041,-113.5841,21.36,9,0,5.14
2209055,Waddān,LY,29.1614,16.139,18.02,55,34,7.09
3355672,Lüderitz,NA,-26.6481,15.1594,13.85,71,11,5.96
1259385,Port Blair,IN,11.6667,92.75,28.97,77,100,4.6
3423146,Ilulissat,GL,69.2167,-51.1,-6.99,63,13,0.0
1271213,Giddalūr,IN,15.35,78.9167,25.57,78,100,7.54
4032243,Vaini,TO,-21.2,-175.2,27.09,65,20,3.09
515155,Opochka,RU,56.7105,28.6617,4.27,77,7,2.2
3430443,Necochea,AR,-38.5473,-58.7368,9.67,75,20,2.4
1702348,Mambajao,PH,9.2504,124.7156,28.1,77,79,1.58
935214,Saint-Pierre,RE,-21.3393,55.4781,21.75,64,0,3.09
2729907,Longyearbyen,SJ,78.2186,15.6401,-8.09,62,20,2.57
3374210,São Filipe,CV,14.8961,-24.4956,22.42,82,6,3.15
3393115,Paracuru,BR,-3.41,-39.0306,25.06,82,100,1.53
3652764,Puerto Ayora,EC,-0.7393,-90.3518,22.53,95,22,1.79
1819729,Hong Kong,HK,22.2855,114.1577,25.02,96,100,4.47
3366880,Hermanus,ZA,-34.4187,19.2345,16.0,81,100,6.71
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,23.13,77,98,3.98
5969025,Haines Junction,CA,60.7522,-137.5108,2.92,86,100,1.84
2381334,Atar,MR,20.5169,-13.0499,30.98,20,5,4.36
934322,Mahébourg,MU,-20.4081,57.7,22.16,94,20,2.06
363656,Yambio,SS,4.5721,28.3955,20.12,98,100,1.41
1282256,Hithadhoo,MV,-0.6,73.0833,28.93,74,91,6.89
2019935,Mnogovershinnyy,RU,53.9353,139.9242,10.35,73,45,1.15
546105,Nikolskoye,RU,59.7035,30.7861,7.37,76,39,2.39
3996893,Caborca,MX,30.5838,-111.101,30.35,10,0,7.2
3855075,General Pico,AR,-35.6566,-63.7568,14.14,73,29,3.19
2074865,Carnarvon,AU,-24.8667,113.6333,23.04,68,96,3.09
3608828,Iralaya,HN,15.0,-83.2333,25.91,83,0,3.94
6355222,Yulara,AU,-25.2406,130.9889,17.91,34,93,5.14
